Make,Model,Name,Trim,Year,finalPrice,retailPrice
Jeep,Grand Cherokee,2023 Jeep Grand Cherokee ALTITUDE 4X4,ALTITUDE 4X4,2023,"$47,149 ","$49,360 "
Jeep,Grand Cherokee,2024 Jeep Grand Cherokee ALTITUDE X 4X4,ALTITUDE X 4X4,2024,"$43,765 ","$50,170 "
Jeep,Grand Cherokee,2024 Jeep Grand Cherokee L ALTITUDE X 4X4,L ALTITUDE X 4X4,2024,"$45,175 ","$51,175 "
Jeep,Grand Cherokee,2024 Jeep Grand Cherokee LIMITED 4X4,LIMITED 4X4,2024,"$46,397 ","$53,020 "
Jeep,Grand Cherokee,2023 Jeep Grand Cherokee L ALTITUDE 4X4,L ALTITUDE 4X4,2023,"$51,273 ","$53,180 "
Jeep,Grand Cherokee,2024 Jeep Grand Cherokee LIMITED 4X4,LIMITED 4X4,2024,"$47,275 ","$54,015 "
Jeep,Grand Cherokee,2024 Jeep Grand Cherokee L LIMITED 4X4,L LIMITED 4X4,2024,"$48,410 ","$54,910 "
Jeep,Grand Cherokee,2023 Jeep Grand Cherokee LIMITED 4X4,LIMITED 4X4,2023,"$54,690 ","$56,965 "
Jeep,Grand Cherokee,2024 Jeep Grand Cherokee L LIMITED 4X4,L LIMITED 4X4,2024,"$50,540 ","$57,040 "
Jeep,Wrangler,2024 Jeep Wrangler 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$57,445 ","$57,945 "
Jeep,Wrangler,2024 Jeep Wrangler 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$57,445 ","$57,945 "
Jeep,Wrangler,2024 Jeep Wrangler 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$58,240 ","$58,740 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SPORT S,4-DOOR SPORT S,2024,"$56,065 ","$59,565 "
Jeep,Wrangler,2024 Jeep Wrangler 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$59,740 ","$60,240 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$56,950 ","$60,450 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SPORT S,4-DOOR SPORT S,2024,"$58,365 ","$61,865 "
Jeep,Wrangler 4xe,2024 Jeep Wrangler 4xe 4-DOOR SAHARA,4-DOOR SAHARA,2024,"$58,850 ","$64,090 "
Jeep,Grand Cherokee L,2021 Jeep Grand Cherokee L Limited SUV,Limited,2021,"$38,777 ","$41,210 "
Jeep,Compass,2023 Jeep Compass LIMITED 4X4,LIMITED 4X4,2023,"$38,797 ","$40,565 "
Chevrolet,Silverado 1500,2017 Chevrolet Silverado 1500 High Country Truck Crew Cab,High Country,2017,"$38,933 ","$38,933 "
Jeep,Gladiator,2020 Jeep Gladiator Overland Truck Crew Cab,Overland,2020,"$38,933 ","$42,864 "
Jeep,Wrangler,2020 Jeep Wrangler Unlimited Sahara SUV,Unlimited Sahara,2020,"$38,988 ","$38,988 "
Jeep,Gladiator,2021 Jeep Gladiator Sport Truck Crew Cab,Sport,2021,"$38,990 ","$38,990 "
Ford,Bronco,1996 Ford Bronco Eddie Bauer (STD is Estimated) SUV,Eddie Bauer (STD is Estimated),1996,"$38,999 ","$38,999 "
Jeep,Compass,2024 Jeep Compass LIMITED 4X4,LIMITED 4X4,2024,"$38,720 ","$41,305 "
Jeep,Compass,2024 Jeep Compass LATITUDE 4X4,LATITUDE 4X4,2024,"$38,877 ","$40,785 "
Ram,1500,2021 Ram 1500 Laramie Truck Crew Cab,Laramie,2021,"$39,990 ","$39,990 "
Ram,1500,2023 Ram 1500 Big Horn/Lone Star Truck Quad Cab,Big Horn/Lone Star,2023,"$40,777 ","$42,975 "
Jeep,Wrangler,2021 Jeep Wrangler Rubicon SUV,Rubicon,2021,"$40,955 ","$40,955 "
Jeep,Wrangler,2021 Jeep Wrangler Unlimited Sahara SUV,Unlimited Sahara,2021,"$40,985 ","$40,985 "
Jeep,Compass,2024 Jeep Compass LATITUDE 4X4,LATITUDE 4X4,2024,"$40,420 ","$42,110 "
Jeep,Wrangler 4xe,2021 Jeep Wrangler 4xe Sahara SUV,Sahara,2021,"$42,965 ","$44,960 "
